epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6503.26,0.39728,0.36881,0.89253,0.99313,1,0.995,0.97486,0.30105,0.28518,0.82005,0.000896846,0.000896846,0.000896846
72,6593.37,0.36329,0.3542,0.89244,0.99304,1,0.995,0.977,0.2559,0.27594,0.82287,0.000885844,0.000885844,0.000885844
73,6681.16,0.4307,0.38187,0.90866,0.9932,1,0.995,0.977,0.2975,0.28743,0.81977,0.000874842,0.000874842,0.000874842
74,6772.22,0.3633,0.31535,0.87482,0.99316,1,0.995,0.97486,0.30897,0.28667,0.81679,0.000863839,0.000863839,0.000863839
75,6861.71,0.37548,0.30929,0.88461,0.99317,1,0.995,0.95171,0.33175,0.3013,0.80555,0.000852837,0.000852837,0.000852837
76,6948.68,0.37065,0.31282,0.87592,0.99324,1,0.995,0.979,0.30504,0.29337,0.83886,0.000841835,0.000841835,0.000841835
77,7038.98,0.35394,0.29345,0.89546,0.99332,1,0.995,0.9572,0.29902,0.27992,0.84499,0.000830833,0.000830833,0.000830833
78,7126.72,0.35457,0.30904,0.88733,0.99336,1,0.995,0.9544,0.25627,0.24932,0.80367,0.000819831,0.000819831,0.000819831
79,7215.7,0.35075,0.29444,0.88607,0.99331,1,0.995,0.977,0.24124,0.26012,0.79046,0.000808828,0.000808828,0.000808828
80,7321.98,0.37603,0.3445,0.88506,0.99326,1,0.995,0.97286,0.26746,0.29099,0.81297,0.000797826,0.000797826,0.000797826
81,7416.54,0.3971,0.33216,0.89333,0.9933,1,0.995,0.95071,0.31051,0.26921,0.81953,0.000786824,0.000786824,0.000786824
82,7506.2,0.34881,0.2807,0.86835,0.99326,1,0.995,0.97086,0.23959,0.25089,0.79042,0.000775822,0.000775822,0.000775822
83,7594.17,0.40053,0.31891,0.89378,0.99321,1,0.995,0.97486,0.25611,0.26355,0.80313,0.00076482,0.00076482,0.00076482
84,7681.15,0.34227,0.29505,0.86652,0.99316,1,0.995,0.9575,0.2678,0.22786,0.82922,0.000753817,0.000753817,0.000753817
85,7770.38,0.34053,0.29302,0.88446,0.99335,1,0.995,0.995,0.25788,0.24041,0.7888,0.000742815,0.000742815,0.000742815
86,7858.07,0.3749,0.30409,0.89865,0.99345,1,0.995,0.995,0.23645,0.28004,0.7804,0.000731813,0.000731813,0.000731813
87,7951.17,0.381,0.32445,0.89325,0.99313,1,0.995,0.953,0.33495,0.23217,0.8347,0.000720811,0.000720811,0.000720811
88,8038.72,0.35883,0.28675,0.86803,0.99312,1,0.995,0.977,0.28335,0.24525,0.80241,0.000709809,0.000709809,0.000709809
89,8126.66,0.32161,0.28007,0.87865,0.99204,1,0.995,0.94657,0.28351,0.24833,0.80969,0.000698806,0.000698806,0.000698806
90,8214.42,0.38564,0.29126,0.92487,0.9924,1,0.995,0.94657,0.28526,0.24073,0.82088,0.000687804,0.000687804,0.000687804
91,8301.65,0.35874,0.29542,0.87707,0.99323,1,0.995,0.97086,0.25432,0.2052,0.81024,0.000676802,0.000676802,0.000676802
92,8392.61,0.32757,0.28812,0.88238,0.99314,1,0.995,0.97086,0.28628,0.20835,0.80399,0.0006658,0.0006658,0.0006658
93,8479.63,0.35882,0.29795,0.86237,1,1,0.995,0.96879,0.28386,0.21519,0.81296,0.000654798,0.000654798,0.000654798
94,8570.61,0.38191,0.29215,0.88891,1,1,0.995,0.96879,0.23213,0.20725,0.79753,0.000643795,0.000643795,0.000643795
95,8660.89,0.35349,0.27519,0.8859,1,1,0.995,0.97286,0.23168,0.20025,0.79249,0.000632793,0.000632793,0.000632793
96,8748.75,0.33635,0.27322,0.9001,0.99327,1,0.995,0.93737,0.29794,0.20255,0.82309,0.000621791,0.000621791,0.000621791
97,8838.14,0.28683,0.2489,0.84662,0.99322,1,0.995,0.977,0.25174,0.19236,0.81565,0.000610789,0.000610789,0.000610789
98,8925.71,0.32319,0.26276,0.86407,0.99329,1,0.995,0.995,0.24882,0.20202,0.78498,0.000599787,0.000599787,0.000599787
99,9014.61,0.3117,0.26157,0.87307,0.99333,1,0.995,0.94809,0.26493,0.20735,0.79496,0.000588784,0.000588784,0.000588784
100,9106.57,0.32514,0.26236,0.85146,0.99328,1,0.995,0.94657,0.24971,0.20348,0.80677,0.000577782,0.000577782,0.000577782
101,9194.57,0.33782,0.30859,0.8818,1,1,0.995,0.97086,0.28165,0.22207,0.82189,0.00056678,0.00056678,0.00056678
102,9283.45,0.30606,0.28555,0.86727,0.99318,1,0.995,0.94657,0.28287,0.23875,0.81434,0.000555778,0.000555778,0.000555778
103,9370.64,0.32007,0.25898,0.85883,0.9932,1,0.995,0.9544,0.28964,0.23677,0.82837,0.000544776,0.000544776,0.000544776
104,9457.31,0.33383,0.28143,0.88935,1,1,0.995,0.95983,0.27973,0.19942,0.8243,0.000533773,0.000533773,0.000533773
105,9546,0.3241,0.2606,0.86816,0.99326,1,0.995,0.92773,0.36956,0.25675,0.82005,0.000522771,0.000522771,0.000522771
106,9633.06,0.32092,0.28912,0.87233,0.99322,1,0.995,0.95508,0.34623,0.28135,0.81833,0.000511769,0.000511769,0.000511769
107,9724.01,0.27935,0.25759,0.86189,0.99318,1,0.995,0.94657,0.29722,0.2355,0.83057,0.000500767,0.000500767,0.000500767
108,9811.69,0.28263,0.24793,0.85496,0.99319,1,0.995,0.96879,0.2777,0.22158,0.8099,0.000489765,0.000489765,0.000489765
109,9898.95,0.30746,0.27311,0.86806,0.99328,1,0.995,0.97086,0.2519,0.18931,0.78968,0.000478762,0.000478762,0.000478762
110,9987.64,0.2757,0.24126,0.86652,0.99327,1,0.995,0.9515,0.25172,0.20626,0.79694,0.00046776,0.00046776,0.00046776
111,10076.3,0.30198,0.28495,0.88305,0.99339,1,0.995,0.95508,0.26746,0.20829,0.8152,0.000456758,0.000456758,0.000456758
112,10165.9,0.31474,0.25541,0.87132,0.9933,1,0.995,0.97086,0.25555,0.22695,0.80794,0.000445756,0.000445756,0.000445756
113,10253.3,0.34473,0.27643,0.87386,0.99325,1,0.995,0.995,0.28555,0.21533,0.82228,0.000434754,0.000434754,0.000434754
114,10342.8,0.29977,0.26471,0.85157,1,1,0.995,0.97286,0.28569,0.20232,0.84191,0.000423751,0.000423751,0.000423751
115,10430.5,0.31341,0.26985,0.86186,0.99319,1,0.995,0.95508,0.3057,0.21611,0.82215,0.000412749,0.000412749,0.000412749
