epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
78,270.38,1.04237,1.03596,0.01178,0.75305,0.4668,0.69202,0.4396,2.00768,1.49446,0.01818,2.82863e-05,2.82863e-05,2.82863e-05
79,273.894,0.60801,0.52635,0.00625,0.75798,0.45488,0.68541,0.43527,2.01515,1.51721,0.01811,2.71082e-05,2.71082e-05,2.71082e-05
80,277.311,0.76841,0.58895,0.00884,0.75798,0.45488,0.68541,0.43527,2.01515,1.51721,0.01811,2.59301e-05,2.59301e-05,2.59301e-05
81,280.508,0.73418,0.76801,0.014,0.75798,0.45488,0.68541,0.43527,2.01515,1.51721,0.01811,2.4752e-05,2.4752e-05,2.4752e-05
82,283.909,0.66263,0.41321,0.01166,0.76693,0.45038,0.68943,0.44176,2.00239,1.49128,0.01789,2.35739e-05,2.35739e-05,2.35739e-05
83,287.271,0.97186,1.01419,0.01356,0.76693,0.45038,0.68943,0.44176,2.00239,1.49128,0.01789,2.23958e-05,2.23958e-05,2.23958e-05
84,290.576,0.57216,0.52057,0.00887,0.76693,0.45038,0.68943,0.44176,2.00239,1.49128,0.01789,2.12177e-05,2.12177e-05,2.12177e-05
85,294.025,0.71469,0.68179,0.0082,0.82568,0.44467,0.68904,0.43711,2.01064,1.53162,0.01822,2.00396e-05,2.00396e-05,2.00396e-05
86,297.396,1.03277,1.44068,0.01962,0.82568,0.44467,0.68904,0.43711,2.01064,1.53162,0.01822,1.88615e-05,1.88615e-05,1.88615e-05
87,300.806,0.93089,0.82421,0.01067,0.82568,0.44467,0.68904,0.43711,2.01064,1.53162,0.01822,1.76834e-05,1.76834e-05,1.76834e-05
88,304.126,0.61185,0.57403,0.00997,0.82796,0.44482,0.69758,0.4413,2.0059,1.54335,0.01815,1.65053e-05,1.65053e-05,1.65053e-05
89,307.6,1.02759,0.90806,0.01418,0.82796,0.44482,0.69758,0.4413,2.0059,1.54335,0.01815,1.53272e-05,1.53272e-05,1.53272e-05
90,310.883,0.69115,0.63231,0.00704,0.82796,0.44482,0.69758,0.4413,2.0059,1.54335,0.01815,1.41491e-05,1.41491e-05,1.41491e-05
91,314.228,0.55952,0.31894,0.00915,0.82974,0.44158,0.68823,0.43742,2.03348,1.51913,0.01828,1.2971e-05,1.2971e-05,1.2971e-05
92,317.57,0.55212,0.37404,0.00608,0.82974,0.44158,0.68823,0.43742,2.03348,1.51913,0.01828,1.17929e-05,1.17929e-05,1.17929e-05
93,320.847,0.9168,0.72881,0.01643,0.82974,0.44158,0.68823,0.43742,2.03348,1.51913,0.01828,1.06148e-05,1.06148e-05,1.06148e-05
94,324.291,0.63749,0.39525,0.0071,0.83747,0.43559,0.68299,0.43717,1.98503,1.48494,0.01755,9.4367e-06,9.4367e-06,9.4367e-06
95,327.69,1.10562,0.7073,0.0207,0.83747,0.43559,0.68299,0.43717,1.98503,1.48494,0.01755,8.2586e-06,8.2586e-06,8.2586e-06
96,330.91,0.63853,0.48104,0.01105,0.83747,0.43559,0.68299,0.43717,1.98503,1.48494,0.01755,7.0805e-06,7.0805e-06,7.0805e-06
97,334.282,0.56592,0.33272,0.00627,0.83753,0.44595,0.67963,0.45496,1.97029,1.48236,0.01728,5.9024e-06,5.9024e-06,5.9024e-06
98,337.938,0.70921,0.5574,0.0124,0.83753,0.44595,0.67963,0.45496,1.97029,1.48236,0.01728,4.7243e-06,4.7243e-06,4.7243e-06
99,342.695,0.56282,0.51893,0.00641,0.83753,0.44595,0.67963,0.45496,1.97029,1.48236,0.01728,3.5462e-06,3.5462e-06,3.5462e-06
100,346.78,0.61003,0.53447,0.00623,0.83329,0.44141,0.67261,0.45488,1.96161,1.48842,0.017,2.3681e-06,2.3681e-06,2.3681e-06
